Unnamed: 0,PolicyNo_Flag,Year,postalCode,builtYear,nrOfFloors,Construction_Material_C,Item_Type_C,FloorsType_C,Location,Region,Region_code,distr,distr_code,floodvulnerability,windvulnerability,TExposure,postcode_area,postcode_perimeter,postcode_coast_flg,postcode_coast_len,postcode_alt_mean,postcode_slo_mean,postcode_slp_mean,postcode_rgh_mean,postcode_cor_111,postcode_cor_112,postcode_cor_121,postcode_cor_122,postcode_cor_123,postcode_cor_124,postcode_cor_131,postcode_cor_132,postcode_cor_133,postcode_cor_141,postcode_cor_142,postcode_cor_211,postcode_cor_212,postcode_cor_213,postcode_cor_221,postcode_cor_222,postcode_cor_223,postcode_cor_231,postcode_cor_241,postcode_cor_242,postcode_cor_243,postcode_cor_244,postcode_cor_311,postcode_cor_312,postcode_cor_313,postcode_cor_321,postcode_cor_322,postcode_cor_323,postcode_cor_324,postcode_cor_331,postcode_cor_332,postcode_cor_333,postcode_cor_334,postcode_cor_411,postcode_cor_412,postcode_cor_421,postcode_cor_422,postcode_cor_511,postcode_cor_512,postcode_cor_521,postcode_cor_522,postcode_cor_523,SubItemType_C,TCapital_Insurred,TPremiums,TIncurred,Avg_Cost,ClaimNb_Flood,ClaimNb_Other,ClaimNb_Storm,TClaimsNo
97790,296234P,2013,19013,1975,1,C1,C1,C1,Other,Sterea Hellas (excl. Athens and Pireaus),7,Attica,3,3,2,0.257534247,43259262,42626,1,25161,83.429,5.388,9.497,49.686,0,16920975,0,0,0,0,0,0,0,0,254557,0,0,0,0,0,1113079,2002414,0,1963089,1365771,0,0,413085,0,0,0,15601421,488587,0,0,1998325,978909,0,0,0,0,0,0,0,0,159051,C1C2,73367.57,0,0,0,0,0,0,1
36,11301P,2013,10432,2008,4,C1,C3,C1,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.002739726,101921,1342,0,0,81.667,1.846,3.223,15.667,101921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,1599192,267.8,0,0,0,0,0,1
21193,116181P,2017,11853,1980,0,C2,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,0.008219178,433791,2883,0,0,37,1.536,2.682,13.636,433791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,240000,59.48,0,0,0,0,0,1
23684,69851P,2017,12136,1980,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.002739726,1628632,5014,0,0,67.225,1.364,2.382,13,1628632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,150000,35.19,0,0,0,0,0,0
17520,207742P,2020,11634,1970,6,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.005479452,332832,3023,0,0,122.833,1.849,3.229,18,299922,0,0,0,0,0,0,0,0,0,32909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,120000,25.73,0,0,0,0,0,1
65787,69263P,2017,16674,1996,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,3,2,1.002739726,7728371,13651,1,1905,128.872,6.275,11.094,54.281,0,4556870,0,0,0,0,0,0,0,0,237193,0,0,0,0,0,0,0,0,0,0,0,0,921,0,0,0,1869,457992,0,0,2459419,0,0,0,0,0,0,0,0,0,14113,C1C2,255200,75.66,0,0,0,0,0,0
170986,20859P,2014,72300,1985,1,C2,C1,C1,Other,Crete ( excl. Eraklion),14,Crete,4,2,1,0.854794521,321005404,211142,1,169166,246.026,6.597,11.658,61.153,709295,1947869,2859598,0,0,1081475,0,0,0,0,0,1198191,0,0,606938,0,74355941,1921367,0,11106074,26060682,0,260293,0,0,99367095,0,90912581,1527427,0,1189284,5414494,0,0,0,0,0,0,0,0,0,486795,C1C2,147410.53,73.4,0,0,0,0,0,0
18476,17786P,2019,11636,1994,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.002739726,720634,3687,0,0,98.667,2.154,3.761,18.778,336551,0,0,0,0,0,0,0,0,243160,140921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,195200,60.65,0,0,0,0,0,0
166772,236481P,2021,69100,1963,0,C1,C3,C1,Other,Thraki and island of Samothraki,1,East Macedonia and Thrace,8,3,2,0.835616438,756154525,228242,1,49177,227.827,4.689,8.312,44.272,469844,13236955,10426672,7052133,0,1074812,510261,0,0,0,261586,202986290,153170597,0,0,0,0,7425992,0,8872132,25636487,0,174650743,3735356,6876446,6623978,0,84193751,28008048,2849007,0,585556,0,12823031,0,2403519,0,202349,1832393,224537,0,22057,C1C2,185000,25.25,0,0,0,0,0,0
71049,50305P,2017,17124,1977,2,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.002739726,957621,4077,0,0,71.423,1.298,2.266,11.962,957621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,67000,15.41,0,0,0,0,0,0
